Sampling date,Days post-dosing,Box #,Sample Type,Box Zone,Depth interval (in cm),Sample Replicate Number,Analyte,Analyte Units,199Hg-FeS,nano-200HgS,201Hg-humic,202Hg2+,Ambient Hg
#VALUE!,360,16,s,A, 2-5,D3,MeHg,ng/g dw,0.07992,0.17394,0.23956,0.25933,0.00533
#VALUE!,360,16,s,A, 2-5,D4,MeHg,ng/g dw,0.33523,0.75798,0.96790,1.05576,0.00479
#VALUE!,360,16,s,A, 2-5,D4,MeHg,ng/g dw,0.06757,0.14484,0.16819,0.24139,0.00593
#VALUE!,360,16,s,A, 2-5,D6,MeHg,ng/g dw,0.06775,0.16498,0.20651,0.28411,0.00631
#VALUE!,360,17,s,A, 2-5,D1,MeHg,ng/g dw,0.14467,0.30766,0.45776,0.52962,0.00875
#VALUE!,360,17,s,A, 2-5,D2,MeHg,ng/g dw,0.21510,0.37007,0.22839,0.45123,0.01129
#VALUE!,360,17,s,A, 2-5,D3,MeHg,ng/g dw,0.29014,0.52176,0.29499,0.63673,0.04413
#VALUE!,360,17,s,A, 2-5,D4,MeHg,ng/g dw,0.22897,0.43936,0.23682,0.52457,0.01905
#VALUE!,360,17,s,A, 2-5,D4,MeHg,ng/g dw,0.19141,0.34867,0.29176,0.49028,0.01860
#VALUE!,360,17,s,A, 2-5,D6,MeHg,ng/g dw,0.29890,0.51026,0.42028,0.67482,0.01267
#VALUE!,360,18,s,A, 2-5,D1,MeHg,ng/g dw,0.45617,0.82883,0.69772,1.10494,0.02338
#VALUE!,360,18,s,A, 2-5,D2,MeHg,ng/g dw,0.10984,0.20298,0.26168,0.30653,0.00795
#VALUE!,360,18,s,A, 2-5,D3,MeHg,ng/g dw,0.25712,0.47016,0.27655,0.58042,0.02222
#VALUE!,360,18,s,A, 2-5,D4,MeHg,ng/g dw,0.08203,0.17152,0.16881,0.29516,0.00599
#VALUE!,360,18,s,A, 2-5,D4,MeHg,ng/g dw,0.04231,0.07359,0.08702,0.12871,0.00636
#VALUE!,360,18,s,A, 2-5,D6,MeHg,ng/g dw,0.03820,0.07094,0.07871,0.10132,0.00434
#VALUE!,360,16,s,A,0-0.5,F1,MeHg,ng/g dw,0.09817,0.19500,0.25497,0.32144,0.00533
#VALUE!,360,16,s,A,0-0.5,F2,MeHg,ng/g dw,,,,,
#VALUE!,360,16,s,A,0-0.5,F3,MeHg,ng/g dw,,,,,
#VALUE!,360,16,s,A,0-0.5,F4,MeHg,ng/g dw,,,,,
#VALUE!,360,16,s,A,0-0.5,F4,MeHg,ng/g dw,,,,,
#VALUE!,360,16,s,A,0-0.5,F6,MeHg,ng/g dw,,,,,
#VALUE!,360,17,s,A,0-0.5,F1,MeHg,ng/g dw,,,,,
#VALUE!,360,17,s,A,0-0.5,F2,MeHg,ng/g dw,,,,,
#VALUE!,360,17,s,A,0-0.5,F3,MeHg,ng/g dw,,,,,
#VALUE!,360,17,s,A,0-0.5,F4,MeHg,ng/g dw,,,,,
#VALUE!,360,17,s,A,0-0.5,F4,MeHg,ng/g dw,,,,,
