site name,site code,state,system,subsite,latitude,longitude,individual ID,sample_date,sample date,sample month,sample year,sample type,sample depth (cm),sediment MeHg (ng/g DW),mehg_units,sediment THg (ng/g DW),total_hg_units,%LOI,%MeHg,,,,notes,notes 2,notes 3,,,,,file name for data pull
Drake's Island,DI-H,ME,Webhannet River,HOC,43.33027,-70.55853,DR HOC,09/01/2015,,September,2015,grab,0-4,0.214813766770719,(ng/g DW),6.3281,(ng/g DW),3.69436351694986,3,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-H,ME,Webhannet River,HOC,43.33027,-70.55853,DR HOC,09/01/2015,,September,2015,grab,0-4,0.226702874472608,(ng/g DW),6.20096666666667,(ng/g DW),4.14979757085022,4,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-L,ME,Webhannet River,LOC,43.32265,-70.55818,DR LOC,09/01/2015,,September,2015,grab,0-4,0.061190382625828,(ng/g DW),4.7602,(ng/g DW),0.873709293089749,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-L,ME,Webhannet River,LOC,43.32265,-70.55818,DR LOC,09/01/2015,,September,2015,grab,0-4,0.022677215216263,(ng/g DW),4.2012,(ng/g DW),0.941179800724619,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-L,ME,Webhannet River,LOC,43.32265,-70.55818,DR LOC,09/01/2015,,September,2015,grab,0-4,0.003339996619722,(ng/g DW),2.1842,(ng/g DW),0.567399721841839,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-L,ME,Webhannet River,LOC,43.32265,-70.55818,DR LOC,09/01/2015,,September,2015,grab,0-4,0.034052181697349,(ng/g DW),4.2131,(ng/g DW),1.01651842439642,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-L,ME,Webhannet River,LOC,43.32265,-70.55818,DR LOC,09/01/2015,,September,2015,grab,0-4,0.390777536329739,(ng/g DW),9.9053,(ng/g DW),2.00652504681649,4,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-L,ME,Webhannet River,LOC,43.32265,-70.55818,DR LOC,09/01/2015,,September,2015,grab,0-4,0.10835828520957,(ng/g DW),5.8406,(ng/g DW),1.32943294329433,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-L,ME,Webhannet River,LOC,43.32265,-70.55818,DR LOC,09/01/2015,,September,2015,grab,0-4,0.005560068046748,(ng/g DW),3.2831,(ng/g DW),1.30353817504656,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-L,ME,Webhannet River,LOC,43.32265,-70.55818,DR LOC,09/01/2015,,September,2015,grab,0-4,0.011408846247197,(ng/g DW),5.0089,(ng/g DW),0.851468601095227,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Drake's Island,DI-L,ME,Webhannet River,LOC,43.32265,-70.55818,DR LOC,09/01/2015,,September,2015,grab,0-4,0.017312077367822,(ng/g DW),14.1399,(ng/g DW),1.12745374548738,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,GC HOC,08/01/2015,,August,2015,grab,0-4,0.203040121064557,(ng/g DW),203.5935,(ng/g DW),13.1630648330059,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,GC HOC,08/01/2015,,August,2015,grab,0-4,0.26908466763716,(ng/g DW),182.0581,(ng/g DW),12.7675550300163,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,GC HOC,08/01/2015,,August,2015,grab,0-4,0.233599983335624,(ng/g DW),145.1007,(ng/g DW),10.5603448275862,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,GC HOC,08/01/2015,,August,2015,grab,0-4,0.269742606493208,(ng/g DW),180.1615,(ng/g DW),11.0376516773733,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,GC HOC,08/01/2015,,August,2015,grab,0-4,0.259826785947695,(ng/g DW),137.8567,(ng/g DW),10.3815507201961,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,GC HOC,08/01/2015,,August,2015,grab,0-4,0.162712469597097,(ng/g DW),169.3099,(ng/g DW),14.4086021505376,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,GC HOC,08/01/2015,,August,2015,grab,0-4,0.268792321361024,(ng/g DW),198.8652,(ng/g DW),18.1664223850766,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,GC HOC,08/01/2015,,August,2015,grab,0-4,0.219321350696268,(ng/g DW),189.014,(ng/g DW),16.3971104165338,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Goshen Cove,GC-L,CT,Long Island Sound,LOC,41.30193,-72.11815,GC LOC,08/01/2015,,August,2015,grab,0-4,0.125947472050134,(ng/g DW),1.8578,(ng/g DW),0.82530949105913,7,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Goshen Cove,GC-L,CT,Long Island Sound,LOC,41.30193,-72.11815,GC LOC,08/01/2015,,August,2015,grab,0-4,0.057281402505208,(ng/g DW),1.4649,(ng/g DW),0.778316172016978,4,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Goshen Cove,GC-L,CT,Long Island Sound,LOC,41.30193,-72.11815,GC LOC,08/01/2015,,August,2015,grab,0-4,0.040548893210093,(ng/g DW),1.8268,(ng/g DW),0.769400314372385,2,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
